Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
public.rl_cds_ficha_ativ_col_tema,MISTRAL__VS__OPENAI,0.0,0.5698734025160471
public.rl_cds_visita_dom_motivo,DEEPSEEK__VS__MISTRAL,0.037037037037037035,0.5781575154375147
public.rl_cds_visita_dom_motivo,DEEPSEEK__VS__OPENAI,0.14814814814814814,0.6973191135459476
public.rl_cds_visita_dom_motivo,MISTRAL__VS__OPENAI,0.037037037037037035,0.6700235218913467
public.rl_ciap_cid10,DEEPSEEK__VS__MISTRAL,0.0,0.5953637427753872
public.rl_ciap_cid10,DEEPSEEK__VS__OPENAI,0.0,0.5807791186703575
public.rl_ciap_cid10,MISTRAL__VS__OPENAI,0.3333333333333333,0.6953960325982835
public.rl_evol_aval_tp_vig_saude_bucl,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7844646374384562
public.rl_evol_aval_tp_vig_saude_bucl,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7987984816233317
public.rl_evol_aval_tp_vig_saude_bucl,MISTRAL__VS__OPENAI,0.0,0.6637063026428223
public.rl_evolucao_avaliacao_ciap_cid,DEEPSEEK__VS__MISTRAL,0.07407407407407407,0.5921203560299343
public.rl_evolucao_avaliacao_ciap_cid,DEEPSEEK__VS__OPENAI,0.1111111111111111,0.6924295922120413
public.rl_evolucao_avaliacao_ciap_cid,MISTRAL__VS__OPENAI,0.1111111111111111,0.5850520266426934
public.rl_evolucao_odonto_parte_bucal,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7906524605221219
public.rl_evolucao_odonto_parte_bucal,DEEPSEEK__VS__OPENAI,0.18518518518518517,0.7892516641705125
public.rl_evolucao_odonto_parte_bucal,MISTRAL__VS__OPENAI,0.4444444444444444,0.8006330165598128
public.rl_evolucao_odonto_proced,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8222370743751526
public.rl_evolucao_odonto_proced,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7581288615862528
public.rl_evolucao_odonto_proced,MISTRAL__VS__OPENAI,0.6666666666666666,0.836734394232432
public.rl_evolucao_plano_ciap,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.6711849040455289
public.rl_evolucao_plano_ciap,DEEPSEEK__VS__OPENAI,0.5555555555555556,0.9187072647942437
public.rl_evolucao_plano_ciap,MISTRAL__VS__OPENAI,0.3333333333333333,0.7168512951444697
public.rl_evolucao_subjetivo_ciap,DEEPSEEK__VS__MISTRAL,0.33333333333333326,0.7234972969249442
public.rl_evolucao_subjetivo_ciap,DEEPSEEK__VS__OPENAI,0.4444444444444444,0.7347235514058006
public.rl_evolucao_subjetivo_ciap,MISTRAL__VS__OPENAI,0.5555555555555556,0.7734467569324706
public.rl_grupo_condicao_ciap_cid,DEEPSEEK__VS__MISTRAL,0.1111111111111111,0.6548232502407498
